time,open,high,low,close,volume
2020-12-10 16:32:00,366.51,366.52,366.44,366.45,6675
2020-12-10 16:33:00,366.46,366.48,366.38,366.46,18697
2020-12-10 16:34:00,366.48,366.48,366.46,366.48,4740
2020-12-10 16:35:00,366.47,366.5,366.45,366.46,18932
2020-12-10 16:36:00,366.47,366.48,366.45,366.48,2487
2020-12-10 16:37:00,366.48,366.73,366.44,366.47,49661
2020-12-10 16:38:00,366.48,366.53,366.48,366.53,1520
2020-12-10 16:39:00,366.54,366.55,366.53,366.55,720
2020-12-10 16:40:00,366.56,366.59,366.54,366.56,11245
2020-12-10 16:41:00,366.58,366.6,366.3,366.6,23170
2020-12-10 16:42:00,366.59,366.63,366.59,366.61,7396
2020-12-10 16:43:00,366.64,366.69,366.64,366.69,11209
2020-12-10 16:44:00,366.7,366.71,366.69,366.7,1693
2020-12-10 16:45:00,366.63,366.66,366.62,366.66,3428
2020-12-10 16:46:00,366.68,366.68,366.68,366.68,1402
2020-12-10 16:47:00,366.68,366.71,366.66,366.69,4764
2020-12-10 16:48:00,366.69,366.69,366.69,366.69,1712
2020-12-10 16:49:00,366.65,366.65,366.65,366.65,637
2020-12-10 16:50:00,366.67,366.67,366.67,366.67,1007
2020-12-10 16:52:00,366.67,366.7,366.66,366.7,2035
2020-12-10 16:53:00,366.7,366.71,366.69,366.71,1691
2020-12-10 16:54:00,366.7,366.7,366.67,366.67,1158
2020-12-10 16:55:00,366.69,366.69,366.65,366.65,427
2020-12-10 16:56:00,366.69,366.69,366.67,366.67,1178
2020-12-10 16:57:00,366.65,366.65,366.53,366.53,5370
2020-12-10 16:58:00,366.52,366.56,366.52,366.54,7795
2020-12-10 16:59:00,366.53,366.53,366.5,366.5,38152
2020-12-10 17:00:00,366.56,366.62,366.56,366.6,4231
2020-12-10 17:01:00,366.55,366.6,366.55,366.6,380
2020-12-10 17:02:00,366.6,366.6,366.55,366.55,3273
2020-12-10 17:03:00,366.54,366.55,366.53,366.55,2468
2020-12-10 17:04:00,366.56,366.73,366.56,366.56,3114
2020-12-10 17:05:00,366.56,366.58,366.56,366.58,2164
2020-12-10 17:06:00,366.73,366.73,366.58,366.58,1223008
2020-12-10 17:07:00,366.55,366.58,366.55,366.58,1143
2020-12-10 17:08:00,366.65,366.67,366.65,366.67,596
2020-12-10 17:10:00,366.66,366.66,366.66,366.66,85028
2020-12-10 17:11:00,366.66,366.66,366.66,366.66,502
2020-12-10 17:13:00,366.66,366.66,366.65,366.65,1843
2020-12-10 17:15:00,366.66,366.66,366.66,366.66,160
2020-12-10 17:16:00,366.66,366.66,366.66,366.66,904
2020-12-10 17:17:00,366.67,366.67,366.67,366.67,101
2020-12-10 17:18:00,366.66,366.66,366.66,366.66,201
2020-12-10 17:19:00,366.67,366.67,366.66,366.66,301
2020-12-10 17:20:00,366.65,366.65,366.65,366.65,1536
2020-12-10 17:21:00,366.67,366.67,366.66,366.67,550
2020-12-10 17:22:00,366.7,366.7,366.7,366.7,1898
2020-12-10 17:23:00,366.7,366.7,366.7,366.7,758
2020-12-10 17:25:00,366.68,366.68,366.68,366.68,330
2020-12-10 17:28:00,366.65,366.65,366.65,366.65,2607
2020-12-10 17:29:00,366.65,366.73,366.65,366.65,277801
2020-12-10 17:32:00,366.65,366.65,366.65,366.65,300
2020-12-10 17:34:00,366.72,366.73,366.72,366.73,787
2020-12-10 17:36:00,366.7,366.7,366.7,366.7,654
2020-12-10 17:37:00,366.7,366.8,366.7,366.78,19426
2020-12-10 17:38:00,366.8,366.9,366.8,366.9,17159
2020-12-10 17:39:00,366.85,366.85,366.85,366.85,355
2020-12-10 17:40:00,366.85,366.95,366.85,366.95,12205
2020-12-10 17:41:00,366.95,367.0,366.95,366.99,21518
2020-12-10 17:42:00,366.99,366.99,366.95,366.99,7011
2020-12-10 17:43:00,366.99,367.15,366.99,367.1,10217
2020-12-10 17:44:00,367.1,367.14,367.04,367.05,2830
2020-12-10 17:45:00,367.07,367.07,366.9,366.95,12347
2020-12-10 17:46:00,366.96,366.96,366.92,366.95,2051
2020-12-10 17:47:00,366.95,367.03,366.92,366.94,6715
2020-12-10 17:49:00,366.99,367.04,366.99,367.04,698
2020-12-10 17:50:00,367.04,367.04,367.03,367.04,2032
2020-12-10 17:51:00,367.04,367.04,367.04,367.04,8386
2020-12-10 17:52:00,367.04,367.04,367.04,367.04,194
2020-12-10 17:54:00,367.04,367.04,366.97,366.97,827
2020-12-10 17:55:00,367.03,367.04,367.03,367.03,2598
2020-12-10 17:56:00,367.03,367.08,367.03,367.06,5114
2020-12-10 17:57:00,367.08,367.1,367.08,367.08,1541
2020-12-10 17:58:00,367.08,367.13,367.0,367.0,3010
2020-12-10 17:59:00,367.08,367.1,367.08,367.1,1521
2020-12-10 18:00:00,367.1,367.13,367.1,367.13,1276
2020-12-10 18:01:00,367.1,367.1,366.8,366.82,14455
2020-12-10 18:02:00,366.76,366.76,366.67,366.67,9440
2020-12-10 18:03:00,366.67,366.73,366.57,366.73,5165
2020-12-10 18:04:00,366.74,366.77,366.74,366.77,769
2020-12-10 18:05:00,366.75,366.79,366.7,366.7,1750
2020-12-10 18:06:00,366.74,366.79,366.74,366.79,847
2020-12-10 18:07:00,366.79,366.79,366.79,366.79,400
2020-12-10 18:08:00,366.79,366.8,366.79,366.8,1550
2020-12-10 18:09:00,366.8,366.83,366.8,366.82,946
2020-12-10 18:10:00,366.83,366.9,366.83,366.9,1780
2020-12-10 18:11:00,366.9,366.97,366.9,366.9,8121
2020-12-10 18:12:00,366.9,366.9,366.9,366.9,451
2020-12-10 18:13:00,366.91,366.91,366.91,366.91,151
